Area_Year,9_Postsecondary enrolments,"2_Number of students in elementary and secondary schools_Public school Total, program type","2_Number of students in elementary and secondary schools_Priviate school Total, program type","2_Number of students in elementary and secondary schools_Home-schooling Total, program type",3_Number of full-time and part-time educators,"1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,6_Estimates of population,7_Dependency ratio,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Residential structures,4_Canada_gdp_yearly_Non-profit institutions serving households gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand
British Columbia_2005,232230,596169,,,36888,40798,55.0,4196062,58.9,12406,7078,28872,65263,2949,36946,9974,6342,3941,18352,356,7517,1308,-48,34976,13231,11872,15509,35264,7527,19017,22493,-155,194460,199896
British Columbia_2006,236508,589380,,,37149,41738,45.0,4241794,58.7,13643,7680,29762,69136,3097,37399,11813,7355,4181,19671,366,7778,1433,-68,35331,13699,12531,17193,38771,8312,19846,23913,-84,203053,212006
British Columbia_2007,242394,578628,65370,1038,37119,43644,54.0,4290984,58.4,14750,8269,30653,72954,3009,39404,11191,8044,4863,20099,234,8093,1347,-29,34914,13816,13725,18152,41706,8661,21621,23742,-299,209419,221950
British Columbia_2008,244416,571269,65475,813,36921,44314,59.0,4349336,58.0,14498,8450,31240,75590,3400,40961,12832,8067,5102,19096,504,8551,174,-136,33552,12798,13221,18498,42912,8969,20379,24176,-213,210903,228456
British Columbia_2009,244785,565875,65076,693,36372,45054,67.0,4410506,57.8,13752,8225,31031,77211,3246,41455,11376,6129,4188,17460,317,8571,-985,58,28058,13335,12388,19595,36767,8812,19427,24609,-131,205878,222820
British Columbia_2010,261339,562740,64728,552,35958,43819,60.0,4465546,57.7,14393,8667,31413,80682,3173,41761,12170,7237,4611,17494,240,9222,-863,-92,31700,14396,12157,20828,42271,9767,18984,26398,-137,211749,231029
British Columbia_2011,268887,579111,70272,2226,36108,44146,59.0,4502104,58.1,14564,9062,31495,82879,3351,42612,13734,7500,4657,17987,247,7334,564,171,33180,14326,13116,22278,45024,10476,18984,26350,-108,218203,235419
British Columbia_2012,273123,569736,71865,2085,36021,44107,63.0,4566769,58.3,15063,9150,31561,84975,3396,43344,14937,7812,4134,19282,280,8041,500,22,34647,14531,13701,22562,47586,11146,19417,26533,-6,223329,241975
British Columbia_2013,273093,564528,74310,2061,35613,43817,76.0,4630077,58.5,15795,9402,31971,87169,3448,43347,14618,7182,4243,19396,369,7339,1157,-81,36895,14974,13612,22822,46891,11729,18783,28265,162,228310,244269
British Columbia_2014,276726,558984,76074,2031,35505,44397,82.0,4707103,58.7,16955,9874,32801,89779,3418,42520,16070,7814,4030,20558,403,7817,856,27,39096,16711,13943,25146,49574,12206,17366,31969,-38,236696,251975
