Area_Year,9_Postsecondary enrolments,"2_Number of students in elementary and secondary schools_Total, school type Total, program type",3_Number of full-time and part-time educators,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",6_Estimates of population,7_Dependency ratio,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand
Nova Scotia_2009,50787,137151,10071,9110,938208,59.3,38474,7669,-161,14725,23596,32,37047,46117
Nova Scotia_2010,52083,134544,9744,8944,942107,58.9,39425,8709,76,15422,25524,-25,38052,48137
Nova Scotia_2011,54522,132423,9501,8948,944274,58.9,40256,8414,399,15187,25934,-17,38303,48669
Nova Scotia_2012,55065,129774,9207,8844,943635,60,40776,7484,159,15171,25624,-33,37933,48260
Nova Scotia_2013,54951,126981,8913,8526,940434,61.1,40940,7784,186,15082,26242,-7,37806,48723
Nova Scotia_2014,55617,125463,9150,8745,938545,62.2,41319,7373,38,14381,24917,-7,38173,48691
Nova Scotia_2015,55197,123999,9030,8296,936525,63.4,41624,7382,188,14098,24805,-8,38429,49005
Nova Scotia_2016,54825,122799,9333,8429,942790,64.5,41988,7938,145,13722,24758,23,39038,49944
Nova Scotia_2017,54966,123120,9220.8,8359,950108,65.4,42978,7938,221,14171,25488,2,39757,50927
Nova Scotia_2018,53484,123990,9339.6,8037,958406,66.2,43727,8349,86,14215,25811,9,40502,52098
Nova Scotia_2019,54495,126165,9339.6,8172,970243,67,44321,8979,263,15081,26748,7,41889,53343
Nova Scotia_2020,57033,128556,9339.6,7683,981889,67.7,43254,8704,-539,13756,24762,12,40433,51997
Nova Scotia_2021,56841,128001,9339.6,7029,992055,68.2,45645,9492,125,14121,26414,-9,42927,55195
Nunavut_1991,134046.1671,418497.9615,29540.6,29657.70313,2649933.018,62.91282051,97369.85013,27498.97416,354.2299742,65627.44186,61717.2584,-2.170542636,129645,124936.1731
Nunavut_1992,134046.1671,418497.9615,29540.6,29657.70313,2649933.018,62.91282051,97369.85013,27498.97416,354.2299742,65627.44186,61717.2584,-2.170542636,129645,124936.1731
Nunavut_1993,1455,7850.4,574.2,536,34773.2,63.16,1985.2,512.6,8.2,974.2,1241.2,-7.8,2255.8,2501
Nunavut_1994,1899,7897.2,567.6,455.8,34119.8,73.86,1864,449.4,-32.6,583.8,1084,-7.6,1793.6,2316.8
Nunavut_1995,2253,8001.6,604.2,551.4,40668.8,58.46,2635.8,683.8,1.2,1329.8,1869.2,2.2,2789.2,3323.8
Nunavut_1996,1398,8556.6,593.4,466.2,32581.8,68.4,2070.2,681.6,-2.6,1007.8,1368,-1.8,2399.6,2755.8
Nunavut_1997,1329,8556.6,594.6,492.6,34719.2,70.44,2042.6,668.6,0.8,1022,1357.2,-4,2391.2,2715.2
Nunavut_1998,1464,0,539.4,467,33875,47.3,1532.6,337.2,33.6,445,908,-3.2,1477,1874
