Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5","2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6","2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7","2_Number of students in elementary and secondary schools_Public school Total, program type",2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Public school General programs for adults 6,2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Priviate school Total, program type",2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,3_Number of full-time and part-time educators_New Brunswick 6,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population_New Brunswick,7_Dependency ratio_New Brunswick,9_Postsecondary enrolments_New Brunswick
New Brunswick_2001,"7,347","7,337",10,"124,941","124,941",0,0,"124,944","124,941",0,0,,,,,,,,,,"24,323","15,470","8,089","1,686",959,"5,569","7,378",366,"8,551","4,336","3,237","1,331","1,687",810,870,232,26,"1,070",99,99,101,-8,"24,330","14,055","12,965","1,082","10,415","6,362","3,982","24,956","13,483","12,794",750,"11,574","6,265","5,293",-100,"27,683","28,624","749,820",60.5,"29,916"
New Brunswick_2002,"7,193","7,185",8,"122,793","122,793",0,0,"122,790","122,790",0,0,,,,,,,,,"7,419","24,982","15,963","8,385","1,777","1,005","5,713","7,573",372,"8,698","4,441","3,372","1,519","1,663",789,864,242,31,"1,024",8,10,-5,25,"25,541","15,155","13,898","1,231","10,492","6,307","4,120","25,357","13,431","12,801",711,"12,033","6,645","5,373",-126,"28,999","29,387","749,372",59.9,"32,928"
New Brunswick_2003,"7,255","7,244",11,"120,600","120,600",0,0,"120,600","120,600",0,0,,,,,,,,,"7,473","25,329","16,217","8,441","1,803","1,018","5,723","7,773",353,"8,806","4,893","3,778","1,600","2,003","1,190",900,204,27,"1,061",89,88,89,-9,"26,322","15,663","14,388","1,255","10,765","6,627","4,060","26,417","13,666","12,951",771,"12,860","7,197","5,648",-50,"29,722","30,205","749,441",59.3,"32,235"
New Brunswick_2004,"7,089","7,083",6,"118,869","118,869",0,0,"118,869","118,869",0,0,,,,,,,,,"7,509","25,878","16,681","8,669","1,863","1,057","5,844","8,011",326,"8,901","5,293","4,070","1,692","2,118",880,"1,195",289,16,"1,183",66,66,73,-19,"26,913","16,270","15,078","1,201","10,740","6,434","4,250","27,236","14,222","13,438",830,"13,127","6,809","6,321",-22,"30,475","31,165","749,419",58.8,"33,348"
New Brunswick_2005,"6,967","6,965",2,"117,147","117,144",0,0,"117,147","117,147",0,0,,,,,,,,,"7,509","26,461","17,034","8,738","1,917","1,105","5,787","8,297",352,"9,108","5,654","4,286","1,696","2,272",905,"1,310",337,42,"1,308",53,52,41,20,"27,025","16,471","15,183","1,282","10,648","6,046","4,620","28,117","14,940","14,040",928,"13,289","6,778","6,521",-26,"30,716","32,117","748,057",58.5,"34,599"
New Brunswick_2006,"7,087","7,084",3,"114,819","114,819",0,0,"114,819","114,819",0,0,,,,,,,,,"7,629","27,199","17,604","9,039","2,040","1,194","5,847","8,565",371,"9,244","6,682","5,175","1,713","3,083","1,645","1,461",369,43,"1,428",173,175,148,40,"26,103","15,544","14,316","1,221","10,643","5,680","5,100","28,756","14,505","13,471","1,028","14,408","7,278","7,149",43,"31,348","33,904","745,621",58.6,"33,615"
New Brunswick_2007,"7,232","7,226",6,"112,524","112,524",0,0,"112,011","112,014",0,0,0,0,0,0,513,510,0,0,"7,899","28,189","18,350","9,437","2,167","1,260","6,041","8,913",356,"9,493","7,347","5,336","1,867","3,025","1,696","1,367",442,29,"1,977",-56,-57,-36,-30,"26,644","15,652","14,336","1,301","11,064","6,773","4,256","30,388","14,729","13,672","1,051","15,842","8,341","7,511",-27,"31,644","35,567","745,433",58.8,"30,939"
New Brunswick_2008,"7,463","7,462",1,"111,630","111,633",0,0,"110,289","110,289",0,0,816,816,,,528,528,,,"8,079","29,157","18,980","9,780","2,366","1,311","6,115","9,200",360,"9,827","7,294","5,845","1,855","3,588","2,249","1,418",388,33,"1,378",16,23,44,-28,"25,532","15,250","13,938","1,295","10,370","6,110","4,243","30,070","14,818","13,827",992,"15,421","7,992","7,435",-21,"31,887","36,476","746,877",58.9,"30,792"
New Brunswick_2009,"7,492","7,491",1,"109,722","109,719",0,0,"108,408","108,405",0,0,819,819,,,492,495,,,"7,998","29,421","19,269","9,943","2,391","1,328","6,239","9,326",352,"9,807","6,495","5,042","1,797","2,915","1,601","1,347",327,35,"1,393",-18,-19,-22,4,"25,088","14,708","13,713",992,"10,436","5,830","4,601","29,471","16,342","15,274","1,071","13,184","6,340","6,818",-32,"31,425","35,912","749,956",59.1,"30,282"
New Brunswick_2010,"7,467","7,467",0,"107,718","107,718",0,0,"106,392","106,395",0,0,795,792,,,531,531,,,"7,803","30,264","19,739","10,174","2,535","1,392","6,247","9,565",356,"10,179","6,695","4,871","1,844","2,683","1,235","1,453",344,46,"1,772",232,235,223,13,"26,543","15,401","14,427",978,"11,183","6,569","4,614","31,622","17,480","16,312","1,166","14,203","7,004","7,193",-32,"32,050","36,956","753,035",59.1,"31,434"
New Brunswick_2011,"7,208","7,206",2,"105,723","105,726",,,"104,421","104,421",,,753,753,,,549,549,,,"7,683","30,345","20,117","10,371","2,599","1,393","6,382","9,745",357,"9,872","7,105","4,832","1,818","2,656","1,023","1,633",357,47,"2,228",214,212,255,-47,"26,254","14,146","13,136","1,011","12,125","7,366","4,751","31,739","17,219","16,089","1,131","14,599","7,311","7,289",-17,"32,136","37,451","755,705",59.4,"32,934"
New Brunswick_2012,"7,116","7,115",1,"104,007","104,007",,,"102,579","102,579",,,768,765,,,660,660,,,"7,449","30,430","20,315","10,370","2,657","1,452","6,261","9,945",356,"9,759","6,157","4,426","1,824","2,291","1,026","1,265",311,57,"1,674",171,128,88,40,"26,110","14,970","13,927","1,043","11,141","6,570","4,571","31,053","18,534","17,366","1,167","12,519","5,750","6,769",-20,"31,796","36,587","758,378",60.2,"33,069"
