Area_Year,1_Live births,1_Live births.1,1_Live births.2,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools.1,2_Number of students in elementary and secondary schools.2,2_Number of students in elementary and secondary schools.3,2_Number of students in elementary and secondary schools.4,2_Number of students in elementary and secondary schools.5,2_Number of students in elementary and secondary schools.6,2_Number of students in elementary and secondary schools.7,2_Number of students in elementary and secondary schools.8,2_Number of students in elementary and secondary schools.9,2_Number of students in elementary and secondary schools.10,2_Number of students in elementary and secondary schools.11,2_Number of students in elementary and secondary schools.12,2_Number of students in elementary and secondary schools.13,2_Number of students in elementary and secondary schools.14,2_Number of students in elementary and secondary schools.15,3_Number of full-time and part-time educators,4_Canada_gdp_yearly,4_Canada_gdp_yearly.1,4_Canada_gdp_yearly.2,4_Canada_gdp_yearly.3,4_Canada_gdp_yearly.4,4_Canada_gdp_yearly.5,4_Canada_gdp_yearly.6,4_Canada_gdp_yearly.7,4_Canada_gdp_yearly.8,4_Canada_gdp_yearly.9,4_Canada_gdp_yearly.10,4_Canada_gdp_yearly.11,4_Canada_gdp_yearly.12,4_Canada_gdp_yearly.13,4_Canada_gdp_yearly.14,4_Canada_gdp_yearly.15,4_Canada_gdp_yearly.16,4_Canada_gdp_yearly.17,4_Canada_gdp_yearly.18,4_Canada_gdp_yearly.19,4_Canada_gdp_yearly.20,4_Canada_gdp_yearly.21,4_Canada_gdp_yearly.22,4_Canada_gdp_yearly.23,4_Canada_gdp_yearly.24,4_Canada_gdp_yearly.25,4_Canada_gdp_yearly.26,4_Canada_gdp_yearly.27,4_Canada_gdp_yearly.28,4_Canada_gdp_yearly.29,4_Canada_gdp_yearly.30,4_Canada_gdp_yearly.31,4_Canada_gdp_yearly.32,4_Canada_gdp_yearly.33,4_Canada_gdp_yearly.34,4_Canada_gdp_yearly.35,4_Canada_gdp_yearly.36,4_Canada_gdp_yearly.37,4_Canada_gdp_yearly.38,6_Estimates of population,7_Dependency ratio,9_Postsecondary enrolments,6_Estimates of population.1,7_Dependency ratio.1
British Columbia_1995,"46,889","46,768",121.0,,,,,,,,,,,,,,,,,,"116,111","82,775","36,214","7,588","5,093","24,562","46,437","1,499","32,306","29,815","24,600","12,270","10,582","7,541","3,587","1,825",187,"5,053",602,600,570,35,"53,082","36,338","27,011","8,819","15,852","5,256","10,749","57,974","27,006","21,736","5,369","31,938","17,623","14,469",755,"143,402","146,436",,,"147,195",,
British Columbia_1996,"46,221","46,095",126.0,,,,,,,,,,,,,,,,,,"120,169","85,806","36,716","7,716","5,122","24,931","49,043","1,812","32,946","29,834","24,294","12,459","10,164","6,661","3,675","1,841",173,"5,434",198,200,205,-17,"53,351","35,915","27,061","8,186","16,700","6,149","10,576","57,506","27,468","22,015","5,580","30,703","16,152","14,674",90,"147,052","150,523",,,"150,033",,
British Columbia_1997,"44,634","44,545",89.0,,,,,,,,,,,,,,,,,,"123,991","89,016","38,290","8,449","5,316","25,408","50,657","2,382","32,876","32,310","27,333","13,071","12,230","8,876","4,066","1,946",221,"4,729",903,903,909,-43,"55,463","37,039","27,536","8,970","17,723","6,484","11,274","61,586","30,296","24,726","5,612","31,645","16,383","15,381",-124,"151,968","156,828",,,"154,824",,
British Columbia_1998,"43,067","43,014",53.0,"631,446","615,798","15,648",0.0,"631,446","615,801","15,645",0.0,,,,,,,,,,"125,726","90,175","38,636","8,286","5,397","25,959","51,482","2,464","33,385","30,104","25,452","11,314","11,521","6,781","4,496","2,408",126,"4,532",256,257,209,81,"56,944","37,832","27,496","10,036","18,430","6,711","11,760","60,891","30,265","24,904","5,365","30,843","14,359","16,497",569,"153,811","156,401",,,"161,229",,
British Columbia_1999,"41,977","41,906",71.0,"629,547","612,708","16,839",0.0,"629,544","612,708","16,839",0.0,,,,,,,,,,"128,421","92,443","39,768","8,763","5,511","26,426","52,606","2,611","33,624","30,541","25,097","10,499","12,054","7,527","4,517","2,077",146,"5,332","1,033","1,033","1,025",-18,"61,911","41,159","30,534","10,078","20,004","7,745","12,229","64,595","32,196","26,554","5,639","32,593","15,005","17,590",201,"159,162","159,552",,,"163,533",,
British Columbia_2000,"40,664","40,598",66.0,"628,269","611,820","16,449",0.0,"628,269","611,820","16,449",0.0,,,,,,,,,,"132,591","95,344","41,171","9,472","5,680","26,797","54,090","2,628","34,897","31,611","26,065","10,563","12,463","7,289","4,897","2,513",170,"5,403","2,132","2,129","2,143",-73,"67,308","44,273","32,625","11,150","22,326","9,409","12,743","69,598","34,710","28,938","5,733","35,093","15,744","19,343",48,"166,405","164,808",,,"160,305",,
British Columbia_2001,"40,546","40,498",48.0,"624,618","608,823","15,798",0.0,"624,618","608,823","15,798",0.0,,,,,,,,,,"135,724","97,251","42,168","9,975","6,012","26,767","54,984","2,760","36,032","34,014","28,386","11,629","13,121","8,404","4,811","3,164",186,"5,458",-399,-399,-475,128,"66,794","42,375","30,784","11,315","24,124","10,677","13,153","69,764","33,514","27,595","5,920","36,940","17,116","19,803",-19,"167,541","170,262","4,076,950",61.0,"204,180",,
British Columbia_2002,"40,120","40,054",66.0,"622,827","605,499","17,331",0.0,"622,830","605,496","17,331",0.0,,,,,,,,,"37,149","140,099","100,887","44,197","10,859","6,300","27,486","56,551","2,934","36,560","34,333","28,868","13,554","12,552","7,875","4,681","2,704",246,"5,212",572,576,588,-32,"67,270","43,261","31,291","11,739","23,591","10,633","12,636","69,848","33,973","28,128","5,837","36,401","16,704","19,679",132,"174,214","175,025","4,100,564",60.4,"222,873",,
British Columbia_2003,"40,490","40,411",79.0,"613,227","595,206","18,021",0.0,"613,227","595,203","18,021",0.0,,,,,,,,,"36,564","143,766","104,235","45,181","11,263","6,519","27,768","58,949","3,040","36,720","36,613","30,948","14,601","13,100","8,599","4,693","3,238",218,"5,443",671,669,628,52,"69,226","43,996","31,808","11,955","24,859","11,354","13,141","73,588","35,938","29,404","6,537","38,153","18,213","19,907",109,"178,240","180,892","4,124,482",59.8,"224,991",,
British Columbia_2004,"40,542","40,479",63.0,"605,538","588,009","17,526",0.0,"605,535","588,009","17,526",0.0,,,,,,,,,"36,330","148,130","108,952","47,110","12,092","6,808","28,480","61,740","2,771","36,511","41,740","35,317","17,112","14,586","9,487","5,274","3,697",137,"6,299",741,743,741,-29,"72,828","46,322","33,464","12,619","26,112","11,635","14,157","79,354","39,297","32,204","7,097","40,472","19,200","21,240",5,"185,250","190,151","4,155,651",59.3,"229,104",,
British Columbia_2005,"40,853","40,798",55.0,"596,166","581,319","14,850",0.0,"596,169","581,319","14,850",0.0,,,,,,,,,"36,888","153,275","113,429","48,128","12,406","7,078","28,872","65,263","2,949","36,946","46,489","38,637","18,352","16,368","9,974","6,342","3,941",356,"7,517","1,311","1,312","1,308",-48,"76,457","48,449","34,976","13,231","27,611","11,872","15,509","84,079","42,789","35,264","7,527","41,514","19,017","22,493",-155,"194,460","199,896","4,196,062",58.9,"232,230",,
British Columbia_2006,"41,783","41,738",45.0,"589,380","575,082","14,298",0.0,"589,380","575,082","14,298",0.0,,,,,,,,,"37,149","160,695","120,181","51,004","13,643","7,680","29,762","69,136","3,097","37,399","51,255","43,107","19,671","19,193","11,813","7,355","4,181",366,"7,778","1,419","1,421","1,433",-68,"79,417","49,220","35,331","13,699","29,892","12,531","17,193","90,710","47,081","38,771","8,312","43,750","19,846","23,913",-84,"203,053","212,006","4,241,794",58.7,"236,508",,
