Area_Year,1_Live births,1_Live births,1_Live births,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,2_Number of students in elementary and secondary schools,3_Number of full-time and part-time educators,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,4_Canada_gdp_yearly,6_Estimates of population,7_Dependency ratio,9_Postsecondary enrolments
Manitoba_2012,"16,800","16,791",9,"194,148","194,148",,,"178,917","178,920",,,"13,416","13,416",,,"1,815","1,812",,,"13,479","51,257","33,907","15,525","4,195","2,429","8,901","18,382","1,093","16,257","13,570","10,327","3,559","6,028","3,334","2,694",740,95,"3,148",896,859,17,842,"32,162","15,056","13,403","1,654","17,106","8,929","8,177","37,998","17,063","14,679","2,384","20,935","9,961","10,973",-41,"59,846","64,827","1,249,975",66.9,"60,702"
Manitoba_2013,"16,914","16,909",5,"195,171","195,171",,,"179,289","179,292",,,"13,491","13,491",,,"2,388","2,385",,,"13,662","52,084","34,822","16,011","4,498","2,462","9,053","18,811","1,160","16,108","13,668","10,693","3,747","6,196","3,379","2,817",750,104,"2,872","1,392","1,395",438,960,"32,310","14,927","13,189","1,738","17,381","9,602","7,781","38,404","17,631","14,990","2,639","20,773","10,096","10,679",3,"61,583","65,752","1,264,620",67.1,"61,533"
Manitoba_2014,"16,984","16,978",6,"195,432","195,429",,,"179,106","179,106",,,"13,515","13,512",,,"2,808","2,811",,,"13,707","52,747","35,783","16,510","4,766","2,554","9,194","19,274","1,123","15,859","14,184","11,441","3,736","7,022","4,129","2,889",687,129,"2,615",507,529,383,146,"33,316","15,652","13,779","1,873","17,662","9,094","8,582","38,465","17,656","15,036","2,618","20,809","9,660","11,156",-13,"62,853","66,930","1,279,014",67.3,"62,211"
Manitoba_2015,"17,134","17,123",11,"196,341","196,341",,,"179,733","179,736",,,"13,641","13,641",,,"2,964","2,964",,,"13,908","53,464","36,301","16,662","4,820","2,645","9,203","19,638","1,221","15,965","14,306","11,446","3,504","7,264","4,337","2,924",682,94,"2,766",289,277,-84,360,"32,582","15,364","13,375","1,990","17,215","8,419","8,836","37,583","17,665","14,912","2,754","19,890","9,255","10,640",-11,"63,628","67,768","1,292,227",67.7,"61,974"
Manitoba_2016,"17,400","17,386",14,"198,132","198,132",,,"181,023","181,020",,,"13,833","13,833",,,"3,276","3,276",,,"14,097","54,267","36,833","16,862","4,858","2,668","9,342","19,968","1,301","16,160","13,721","10,839","3,563","6,630","4,161","2,475",652,82,"2,802",221,222,373,-142,"32,519","15,579","13,404","2,171","16,937","8,324","8,650","36,750","16,987","14,228","2,764","19,768","9,383","10,395",-10,"64,549","67,976","1,314,139",68.0,"63,192"
Manitoba_2017,"17,500","17,471",29,"200,226","200,223",,,"183,015","183,015",,,"13,818","13,815",,,"3,390","3,393",,,,"55,991","38,196","17,603","5,141","2,793","9,673","20,597","1,325","16,505","14,308","11,595","3,929","6,990","4,265","2,727",682,80,"2,631",409,427,285,144,"33,810","15,673","13,356","2,308","18,127","9,433","8,707","38,407","18,049","15,295","2,758","20,330","9,469","10,865",-17,"66,670","70,289","1,334,790",68.4,"62,952"
Manitoba_2018,"17,542","17,506",36,"202,545","202,545",,,"184,710","184,707",,,"14,196","14,196",,,"3,639","3,639",,,,"57,137","39,008","18,021","5,229","2,875","9,923","20,993","1,364","16,803","14,192","11,864","4,006","7,023","4,450","2,580",841,79,"2,244",485,466,500,-29,"34,380","16,159","13,607","2,537","18,214","9,241","9,002","38,784","18,422","15,602","2,823","20,315","9,343","10,974",15,"68,003","71,313","1,352,825",69.0,"62,802"
Manitoba_2019,"17,186","17,144",42,"204,249","204,249",,,"186,522","186,522",,,"14,022","14,019",,,"3,708","3,708",,,,"57,852","39,456","18,054","5,188","2,885","9,986","21,398","1,353","17,078","13,975","11,801","4,078","6,881","4,290","2,595",848,77,"2,091",639,646,712,-67,"34,987","15,898","13,156","2,720","19,076","10,155","8,917","39,213","18,303","15,352","2,951","20,897","9,316","11,583",7,"68,813","71,804","1,369,954",69.6,"63,363"
Manitoba_2020,"16,908","16,883",25,"205,908","205,908",,,"187,893","187,893",,,"14,325","14,325",,,"3,690","3,690",,,,"55,878","36,878","17,934","5,095","2,592","10,236","19,012","1,355","17,597","12,767","10,460","4,159","5,471","3,304","2,165",830,76,"2,232",-697,-828,-675,-155,"32,832","15,017","12,624","2,379","17,802","9,182","8,637","35,779","16,148","14,034","2,134","19,691","8,995","10,703",10,"65,763","68,608","1,380,648",70.1,"65,037"
Manitoba_2021,"14,561","14,552",9,"202,089","202,089",,,"179,874","179,877",,,"14,184","14,184",,,"8,025","8,028",,,,"59,193","38,922","19,090","5,650","3,132","10,328","19,914","1,347","18,856","12,838","10,571","4,719","4,923","2,491","2,429",891,79,"2,187",-909,-750,55,-775,"32,733","14,091","11,922","2,154","18,668","10,118","8,515","37,848","17,147","15,091","2,087","20,757","9,551","11,211",13,"66,917","71,969","1,383,765",70.3,"63,363"
