Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5","2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6","2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7","2_Number of students in elementary and secondary schools_Public school Total, program type",2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Public school General programs for adults 6,2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Priviate school Total, program type",2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,3_Number of full-time and part-time educators_Newfoundland and Labrador 6,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population_Newfoundland and Labrador,7_Dependency ratio_Newfoundland and Labrador,9_Postsecondary enrolments_Newfoundland and Labrador
Newfoundland and Labrador_2011,"4,501","4,496",5,"69,600","69,600",,,"68,655","68,655",,,873,870,,,75,75,,,"7,605","22,169","14,337","7,579","2,097","1,020","4,463","6,758",259,"7,572","8,073","6,706","1,872","4,272","2,822","1,448",562,46,"1,322",200,206,206,0,"22,208","13,928","13,320",610,"8,340","6,577","1,770","18,971","10,090","9,141",944,"8,873","3,534","5,339",-46,"33,531","30,241","524,999",56.6,"28,500"
Newfoundland and Labrador_2012,"4,409","4,404",5,"68,688","68,688",,,"67,827","67,830",,,753,756,,,105,105,,,"7,584","22,448","14,733","7,773","2,211","1,069","4,493","6,960",257,"7,458","9,825","8,408","1,962","5,594","4,388","1,206",852,42,"1,375",154,-14,-12,-2,"20,300","10,711","10,027",684,"9,590","7,865","1,724","20,620","11,476","10,588",888,"9,144","3,526","5,618",-44,"32,064","32,273","526,345",57.5,"28,188"
Newfoundland and Labrador_2013,"4,548","4,543",5,"68,313","68,310",,,"67,479","67,479",,,708,708,,,126,126,,,"7,380","22,730","15,178","7,990","2,287","1,090","4,614","7,187",247,"7,307","11,402","10,152","1,844","7,347","5,815","1,532",962,36,"1,216",117,185,185,0,"20,972","13,132","12,487",645,"7,737","6,056","1,673","21,584","12,415","11,412","1,002","9,177","3,162","6,013",45,"33,748","34,130","527,114",58.4,"28,500"
Newfoundland and Labrador_2014,"4,593","4,586",7,"68,403","68,406",,,"67,293","67,293",,,966,969,,,144,144,,,"7,650","22,869","15,519","8,147","2,299","1,110","4,738","7,371",232,"7,125","11,527","10,229","1,643","8,112","6,754","1,353",486,29,"1,270",155,169,168,1,"19,345","12,429","11,745",684,"6,798","5,076","1,700","20,539","11,433","10,512",920,"9,107","2,922","6,186",-4,"33,355","34,394","528,159",59.6,"27,207"
Newfoundland and Labrador_2015,"4,488","4,484",4,"68,250","68,250",,,"67,167","67,167",,,957,957,,,126,126,,,"6,948","23,200","15,764","8,213","2,323","1,125","4,764","7,549",248,"7,194","11,289","10,148","1,497","7,946","6,958",994,706,24,"1,118",102,57,57,-1,"17,770","11,731","11,003",714,"5,933","4,199","1,674","19,589","10,654","9,747",905,"8,933","3,241","5,690",-3,"32,965","34,483","528,117",60.8,"26,742"
Newfoundland and Labrador_2016,"4,475","4,466",9,"67,764","67,767",,,"66,654","66,654",,,966,966,,,147,144,,,"7,161","23,285","15,778","8,152","2,313","1,099","4,739","7,621",270,"7,241","12,207","11,192","1,359","9,210","8,451",776,611,15,998,65,93,92,1,"18,675","13,051","12,165",846,"5,568","3,695","1,747","20,892","12,708","11,866",857,"8,206","2,837","5,361",-3,"33,461","35,509","529,426",62.2,"26,979"
Newfoundland and Labrador_2017,"4,105","4,097",8,"67,329","67,329",,,"66,183","66,183",,,"1,005","1,005",,,141,141,,,,"23,386","15,942","8,180","2,333","1,101","4,744","7,755",272,"7,178","9,381","8,177","1,251","6,363","5,445",927,573,14,"1,196",-16,-43,-46,2,"19,624","14,021","13,123",871,"5,567","3,634","1,792","18,148","9,999","9,137",855,"8,151","2,705","5,434",-4,"33,953","32,718","528,249",63.9,"25,968"
Newfoundland and Labrador_2018,"4,022","4,013",9,"66,477","66,480",,,"65,286","65,283",,,"1,077","1,077",,,117,117,,,,"23,595","15,924","8,102","2,255","1,105","4,742","7,812",280,"7,395","7,990","6,671","1,182","4,866","3,844","1,020",636,14,"1,310",76,29,30,0,"20,564","15,797","14,828",946,"4,724","2,709","1,822","18,743","10,992","10,127",865,"7,749","2,445","5,289",3,"33,065","31,521","525,560",65.7,"25,305"
Newfoundland and Labrador_2019,"3,767","3,762",5,"65,343","65,343",,,"64,188","64,188",,,"1,005","1,005",,,147,147,,,,"23,906","16,257","8,294","2,380","1,127","4,787","7,953",284,"7,371","8,400","6,951","1,111","5,190","3,839","1,341",656,12,"1,443",90,97,98,0,"21,528","17,020","16,170",845,"4,441","2,488","1,760","19,110","10,927","10,076",852,"8,190","2,660","5,515",-4,"34,391","32,247","523,427",67.5,"24,795"
Newfoundland and Labrador_2020,"3,598","3,586",12,"64,758","64,758",,,"63,570","63,570",,,"1,035","1,035",,,153,150,,,,"23,193","15,372","8,244","2,324","1,086","4,834","7,134",275,"7,540","6,603","5,384","1,146","3,660","2,830",828,598,11,"1,212",114,199,200,-1,"19,329","15,361","14,337",967,"3,912","2,180","1,558","16,091","8,327","7,620",698,"7,770","2,678","5,082",-4,"32,796","29,713","521,364",69.1,"25,083"
Newfoundland and Labrador_2021,"3,839","3,833",6,"64,494","64,494",,,"62,964","62,964",,,984,987,,,543,543,,,,"24,566","16,073","8,598","2,477","1,281","4,850","7,480",268,"8,216","6,007","4,870","1,288","3,109","2,071","1,035",496,12,"1,130",28,-54,-59,4,"18,592","14,452","13,629",793,"4,087","2,412","1,525","15,858","8,090","7,467",625,"7,770","2,613","5,149",-3,"33,006","30,460","520,553",70.5,"26,181"
