Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5","2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6","2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7","2_Number of students in elementary and secondary schools_Public school Total, program type",2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Public school General programs for adults 6,2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Priviate school Total, program type",2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,3_Number of full-time and part-time educators_British Columbia 11,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population_British Columbia,7_Dependency ratio_British Columbia,9_Postsecondary enrolments_British Columbia
British Columbia_2011,"44,205","44,146",59,"651,609","638,232","13,380",,"579,111","565,728","13,380",,"70,272","70,272",,,"2,226","2,229",,,"36,108","183,960","137,998","55,119","14,564","9,062","31,495","82,879","3,351","42,612","51,459","43,876","17,987","21,237","13,734","7,500","4,657",247,"7,334",742,719,564,171,"82,874","47,491","33,180","14,326","35,389","13,116","22,278","100,829","55,500","45,024","10,476","45,333","18,984","26,350",-108,"218,203","235,419","4,502,104",58.1,"268,887"
British Columbia_2012,"44,170","44,107",63,"643,686","630,825","12,858",,"569,736","556,875","12,861",,"71,865","71,868",,,"2,085","2,085",,,"36,021","187,489","140,749","55,774","15,063","9,150","31,561","84,975","3,396","43,344","54,486","46,165","19,282","22,749","14,937","7,812","4,134",280,"8,041",600,522,500,22,"85,442","49,179","34,647","14,531","36,263","13,701","22,562","104,682","58,732","47,586","11,146","45,950","19,417","26,533",-6,"223,329","241,975","4,566,769",58.3,"273,123"
British Columbia_2013,"43,893","43,817",76,"640,899","627,993","12,906",,"564,528","551,622","12,909",,"74,310","74,310",,,"2,061","2,061",,,"35,613","191,121","144,336","57,167","15,795","9,402","31,971","87,169","3,448","43,347","53,147","45,442","19,396","21,802","14,618","7,182","4,243",369,"7,339","1,082","1,070","1,157",-81,"88,297","51,865","36,895","14,974","36,434","13,612","22,822","105,680","58,629","46,891","11,729","47,049","18,783","28,265",162,"228,310","244,269","4,630,077",58.5,"273,093"
British Columbia_2014,"44,479","44,397",82,"637,089","624,927","12,165",,"558,984","546,819","12,165",,"76,074","76,074",,,"2,031","2,034",,,"35,505","195,272","149,395","59,622","16,955","9,874","32,801","89,779","3,418","42,520","56,695","48,478","20,558","23,888","16,070","7,814","4,030",403,"7,817",826,883,856,27,"94,851","55,806","39,096","16,711","39,048","13,943","25,146","111,054","61,786","49,574","12,206","49,261","17,366","31,969",-38,"236,696","251,975","4,707,103",58.7,"276,726"
British Columbia_2015,"44,383","44,315",68,"635,643","625,962","9,681",,"552,786","543,105","9,681",,"80,637","80,634",,,"2,220","2,220",,,"35,757","202,331","155,326","62,952","18,329","10,643","33,998","92,402","3,637","43,451","54,920","46,833","22,528","20,938","14,103","6,832","3,367",395,"7,694",184,156,101,46,"94,041","56,639","39,637","17,002","37,419","13,153","24,313","109,916","62,081","49,561","12,515","47,749","16,871","30,949",-129,"241,509","257,194","4,776,388",59.3,"271,272"
British Columbia_2016,"45,397","45,298",99,"637,284","629,160","8,121",,"553,374","545,253","8,121",,"81,660","81,660",,,"2,247","2,247",,,"36,111","208,433","160,338","65,287","19,499","10,957","34,852","95,087","4,015","44,179","58,031","49,843","25,916","20,462","12,661","7,744","3,420",329,"7,859",-105,-106,-174,55,"97,054","58,311","40,780","17,530","38,766","12,922","25,885","115,448","65,893","52,808","13,075","49,393","18,125","31,334",199,"248,262","266,460","4,859,250",59.9,"273,408"
British Columbia_2017,"44,773","44,648",125,"643,410","635,706","7,704",,"557,625","549,921","7,704",,"83,469","83,469",,,"2,316","2,316",,,,"217,014","167,984","68,913","21,152","11,454","36,328","99,120","3,993","45,171","60,751","51,910","25,970","22,382","14,297","8,036","3,580",326,"8,520","1,638","1,612","1,668",-35,"99,738","60,395","41,307","19,083","39,310","12,589","26,748","121,506","68,262","55,880","12,409","53,172","19,154","34,092",-76,"257,724","277,778","4,929,384",60.7,"277,974"
British Columbia_2018,"43,736","43,599",137,"650,496","642,990","7,506",,"563,241","555,735","7,506",,"84,999","84,996",,,"2,259","2,256",,,,"224,201","173,566","70,911","21,832","12,188","36,920","102,701","4,173","46,601","62,577","52,675","25,551","22,998","14,310","8,633","4,224",347,"9,579","2,810","2,776","2,208",419,"103,531","62,836","42,326","20,537","40,637","13,380","27,292","125,933","70,862","58,109","12,789","54,984","20,201","34,843",-57,"266,882","286,780","5,010,476",61.3,"286,914"
British Columbia_2019,"43,676","43,452",224,"657,372","649,893","7,482",,"568,980","561,501","7,482",,"86,082","86,082",,,"2,307","2,310",,,,"228,407","176,378","70,995","21,518","12,487","37,020","105,407","4,279","47,874","68,783","58,791","24,876","29,450","19,758","9,641","4,900",333,"9,663","2,486","2,463","1,990",470,"105,851","64,310","41,271","23,131","41,473","13,027","28,469","131,208","73,391","59,584","13,790","57,771","21,116","36,724",144,"273,941","297,493","5,094,796",61.6,"295,320"
British Columbia_2020,"42,384","42,251",133,"665,676","657,753","7,926",,"576,000","568,074","7,923",,"87,222","87,222",,,"2,454","2,454",,,,"224,258","170,129","72,589","21,251","12,132","39,185","97,698","4,351","49,720","69,682","59,335","25,691","29,243","21,428","7,804","4,784",323,"10,033",-318,-329,-752,440,"95,976","55,097","37,716","17,465","41,250","15,353","26,013","123,432","67,146","57,624","9,859","56,462","20,746","35,781",-56,"265,831","294,349","5,158,728",62.3,"297,432"
British Columbia_2021,"44,054","43,999",55,"661,122","654,147","6,972",,"568,284","561,312","6,975",,"87,291","87,291",,,"5,550","5,547",,,,"240,664","182,479","78,300","23,544","14,616","40,246","104,360","4,478","53,629","77,017","65,131","29,447","30,764","22,514","8,240","5,143",315,"11,603","1,683","1,670","1,692",-8,"99,016","58,074","40,026","18,112","41,081","13,677","27,554","136,118","74,980","66,525","9,070","61,247","21,865","39,506",10,"282,111","318,273","5,214,805",62.6,"287,523"
