Area_Year,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11","1_Live births_Canada, place of residence of mother 10",1_Live births_Place of residence of mother outside Canada 11,"2_Number of students in elementary and secondary schools_Total, school type Total, program type","2_Number of students in elementary and secondary schools_Total, school type Regular programs for youth 5","2_Number of students in elementary and secondary schools_Total, school type General programs for adults 6","2_Number of students in elementary and secondary schools_Total, school type Vocational programs for youth and adults 7","2_Number of students in elementary and secondary schools_Public school Total, program type",2_Number of students in elementary and secondary schools_Public school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Public school General programs for adults 6,2_Number of students in elementary and secondary schools_Public school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Priviate school Total, program type",2_Number of students in elementary and secondary schools_Priviate school Regular programs for youth 5,2_Number of students in elementary and secondary schools_Priviate school General programs for adults 6,2_Number of students in elementary and secondary schools_Priviate school Vocational programs for youth and adults 7,"2_Number of students in elementary and secondary schools_Home-schooling Total, program type",2_Number of students in elementary and secondary schools_Home-schooling Regular programs for youth 5,2_Number of students in elementary and secondary schools_Home-schooling General programs for adults 6,2_Number of students in elementary and secondary schools_Home-schooling Vocational programs for youth and adults 7,3_Number of full-time and part-time educators_Ontario 6 7,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Household final consumption expenditure,4_Canada_gdp_yearly_Goods,4_Canada_gdp_yearly_Durable goods,4_Canada_gdp_yearly_Semi-durable goods,4_Canada_gdp_yearly_Non-durable goods,4_Canada_gdp_yearly_Services,4_Canada_gdp_yearly_Non-profit institutions serving households' final consumption expenditure,4_Canada_gdp_yearly_General governments final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Business gross fixed capital formation,4_Canada_gdp_yearly_Residential structures,"4_Canada_gdp_yearly_Non-residential structures, machinery and equipment",4_Canada_gdp_yearly_Non-residential structures,4_Canada_gdp_yearly_Machinery and equipment,4_Canada_gdp_yearly_Intellectual property products,4_Canada_gdp_yearly_Non-profit institutions serving households' gross fixed capital formation,4_Canada_gdp_yearly_General governments gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Of which: business investment in inventories,4_Canada_gdp_yearly_Non-farm,4_Canada_gdp_yearly_Farm,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Exports to other countries,4_Canada_gdp_yearly_Exports of goods to other countries,4_Canada_gdp_yearly_Exports of services to other countries,4_Canada_gdp_yearly_Exports to other provinces,4_Canada_gdp_yearly_Exports of goods to other provinces,4_Canada_gdp_yearly_Exports of services to other provinces,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Imports from other countries,4_Canada_gdp_yearly_Imports of goods from other countries,4_Canada_gdp_yearly_Imports of services from other countries,4_Canada_gdp_yearly_Imports from other provinces,4_Canada_gdp_yearly_Imports of goods from other provinces,4_Canada_gdp_yearly_Imports of services from other provinces,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,6_Estimates of population_Ontario by Local Health Integration Network 8,6_Estimates of population_Ontario by Health Unit 8,7_Dependency ratio_Ontario by Local Health Integration Network 9,7_Dependency ratio_Ontario by Health Unit 9,9_Postsecondary enrolments_Ontario
Ontario_2011,"142,944","142,883",61,"2,168,094","2,168,094",,,"2,051,865","2,051,865",,,"111,486","111,486",,,"4,743","4,746",,,"161,523","532,735","378,684","162,620","43,081","26,080","93,467","216,063","10,234","143,826","135,349","105,163","47,855","43,686","20,701","22,978","13,618",976,"29,200","5,412","5,446","5,527",-113,"336,011","216,733","172,888","43,846","119,281","40,200","79,068","338,179","248,712","204,227","44,489","89,481","47,563","41,923",-268,"671,942","668,085","13,261,381","13,261,381",60.4,60.4,"769,776"
Ontario_2012,"144,173","144,119",54,"2,162,604","2,162,604",,,"2,043,117","2,043,117",,,"114,537","114,540",,,"4,950","4,950",,,"163,311","538,661","384,259","164,715","43,779","26,782","94,154","219,544","10,490","143,918","137,006","108,357","50,100","45,126","22,366","22,760","13,131","1,094","27,555","2,685","2,300","2,305",-5,"344,082","224,425","179,196","45,229","119,657","38,551","81,106","341,408","249,738","204,063","45,675","91,670","48,965","42,705",-235,"680,792","675,667","13,390,632","13,390,632",60.7,60.7,"785,175"
Ontario_2013,"141,990","141,935",55,"2,157,126","2,157,126",,,"2,031,195","2,031,195",,,"120,249","120,252",,,"5,679","5,682",,,"165,702","546,100","392,569","169,289","45,334","27,831","96,129","223,288","10,859","142,697","131,183","103,853","49,197","41,623","21,384","20,232","13,026","1,228","26,103","4,416","4,496","4,462",40,"355,615","227,104","178,384","48,682","128,487","41,935","86,554","347,775","250,997","205,118","45,878","96,798","53,411","43,372",-212,"690,275","677,289","13,510,781","13,510,781",61.2,61.2,"799,482"
Ontario_2014,"142,299","142,242",57,"2,146,026","2,146,029",,,"2,015,385","2,015,385",,,"124,143","124,143",,,"6,504","6,504",,,"169,314","557,658","403,041","174,856","48,847","28,716","97,334","228,213","10,852","143,796","136,940","110,562","49,525","47,255","23,789","23,465","13,811","1,206","25,183","8,781","8,822","8,734",112,"370,839","238,018","189,097","48,879","132,770","38,176","94,646","366,921","267,403","218,413","48,986","99,482","52,072","47,535",-483,"707,589","694,621","13,617,553","13,617,553",61.6,61.6,"821,238"
Ontario_2015,"141,744","141,663",81,"2,140,152","2,140,152",,,"2,003,238","2,003,238",,,"129,609","129,609",,,"7,311","7,311",,,"168,045","573,236","415,132","181,145","51,804","30,019","99,391","234,044","11,418","146,723","145,616","119,590","53,330","52,446","26,671","25,778","13,851","1,129","24,908","2,716","2,740","2,631",111,"379,232","250,977","198,547","52,434","127,688","34,530","93,307","376,565","278,607","226,908","51,698","97,695","49,959","47,901",-433,"724,946","718,984","13,707,118","13,707,118",62.1,62.1,"822,471"
Ontario_2016,"142,731","142,659",72,"2,135,448","2,135,451",,,"1,993,431","1,993,431",,,"133,944","133,944",,,"8,073","8,073",,,"169,572","586,290","425,153","186,432","55,055","30,816","100,623","238,814","12,579","148,615","145,166","119,144","57,491","47,257","24,606","22,677","14,246",867,"25,160","1,403","1,339","1,860",-448,"384,587","259,531","203,061","56,661","124,129","32,458","91,871","378,890","281,639","227,007","54,648","96,885","48,896","48,145",351,"740,164","731,442","13,875,394","13,875,394",62.6,62.6,"822,801"
Ontario_2017,"142,678","142,574",104,"2,152,479","2,152,479",,,"2,006,703","2,006,700",,,"138,411","138,414",,,"7,365","7,365",,,,"607,021","442,979","195,949","59,760","32,748","103,504","247,198","12,736","151,346","150,032","122,025","57,946","48,807","24,696","24,118","15,203",901,"27,144","7,926","8,059","7,749",314,"386,367","256,873","200,204","56,922","128,777","31,999","97,076","390,728","291,773","240,351","51,569","98,489","49,517","49,133",-311,"761,025","757,023","14,070,141","14,070,141",63.0,63.0,"838,410"
Ontario_2018,"142,647","142,562",85,"2,174,391","2,174,391",,,"2,020,245","2,020,245",,,"146,310","146,310",,,"7,836","7,839",,,,"626,363","456,275","202,846","62,154","33,940","106,821","253,647","12,796","157,336","155,808","127,078","56,075","53,999","28,232","25,786","17,465",889,"27,866","6,929","6,953","6,679",274,"397,486","264,869","200,460","65,097","131,850","33,354","98,758","400,305","299,441","245,536","54,000","100,359","50,192","50,339",-27,"786,965","782,200","14,308,697","14,308,697",63.2,63.2,"864,822"
Ontario_2019,"142,690","142,641",49,"2,200,749","2,200,749",,,"2,040,483","2,040,483",,,"151,077","151,077",,,"9,192","9,192",,,,"634,609","463,908","204,506","62,413","34,753","107,448","259,537","13,382","157,353","157,762","129,613","56,279","55,971","28,490","27,489","17,940",792,"27,342","2,949","2,908","2,378",475,"411,618","275,809","203,982","72,863","134,944","34,568","100,606","404,337","302,794","248,244","54,642","101,014","50,418","50,773",-116,"803,505","792,394","14,544,701","14,544,701",63.4,63.4,"889,755"
Ontario_2020,"138,196","137,907",289,"2,220,585","2,220,585",,,"2,056,059","2,056,059",,,"154,638","154,638",,,"9,891","9,888",,,,"598,667","427,043","199,445","57,742","31,075","110,499","228,405","13,411","158,071","163,156","132,391","61,296","52,950","28,709","24,280","18,186",847,"29,998","-7,749","-7,896","-8,703",643,"379,837","248,221","181,645","67,663","131,131","33,397","97,974","370,777","275,634","227,717","48,174","94,810","48,964","45,980",-262,"766,072","762,871","14,745,712","14,745,712",63.6,63.6,"907,641"
Ontario_2021,"142,122","141,766",356,"2,192,193","2,192,193",,,"2,025,258","2,025,258",,,"143,469","143,466",,,"23,466","23,469",,,,"628,667","445,853","207,666","61,748","34,532","111,460","239,003","13,592","168,972","177,469","146,166","70,087","56,653","29,374","27,395","18,851",905,"30,274","3,462","3,621","3,050",514,"384,834","248,312","182,179","67,173","136,208","34,473","102,014","391,933","294,055","242,950","51,383","97,409","48,852","48,797",-246,"805,813","807,865","14,826,276","14,826,276",63.9,63.9,"903,780"
